"cluster_labels","Variable","sum"
"Against Propaganda","count_of_daily_engagement",405
"Against Propaganda","total_number_of_memes_per_cluster",2
"Biden and Harris","count_of_daily_engagement",34
"Biden and Harris","total_number_of_memes_per_cluster",1
"Biden Presidency","count_of_daily_engagement",74
"Biden Presidency","total_number_of_memes_per_cluster",8
"Burning Constitution","count_of_daily_engagement",42
"Burning Constitution","total_number_of_memes_per_cluster",4
"Children and Gender","count_of_daily_engagement",51
"Children and Gender","total_number_of_memes_per_cluster",1
"China","count_of_daily_engagement",43
"China","total_number_of_memes_per_cluster",3
"Conspiracy Theories in Chinese","count_of_daily_engagement",126
"Conspiracy Theories in Chinese","total_number_of_memes_per_cluster",15
"Covid Conspiracies","count_of_daily_engagement",105
"Covid Conspiracies","total_number_of_memes_per_cluster",10
"Democratic Candidates Outlaws","count_of_daily_engagement",35
"Democratic Candidates Outlaws","total_number_of_memes_per_cluster",1
"Effeminizing Biden Voter Males","count_of_daily_engagement",47
"Effeminizing Biden Voter Males","total_number_of_memes_per_cluster",2
"End of Days","count_of_daily_engagement",61
"End of Days","total_number_of_memes_per_cluster",2
"Funny Memes","count_of_daily_engagement",284
"Funny Memes","total_number_of_memes_per_cluster",5
"Government Shutdown","count_of_daily_engagement",1285
"Government Shutdown","total_number_of_memes_per_cluster",5
"January 6th","count_of_daily_engagement",42
"January 6th","total_number_of_memes_per_cluster",1
"January 6th and Biden","count_of_daily_engagement",38
"January 6th and Biden","total_number_of_memes_per_cluster",3
"Leftist","count_of_daily_engagement",1212
"Leftist","total_number_of_memes_per_cluster",1
"Lobbying","count_of_daily_engagement",1197
"Lobbying","total_number_of_memes_per_cluster",2
"Maga and Soldiers","count_of_daily_engagement",45
"Maga and Soldiers","total_number_of_memes_per_cluster",2
"Missing Votes","count_of_daily_engagement",387
"Missing Votes","total_number_of_memes_per_cluster",1
"Mixed Conspiracy Theories","count_of_daily_engagement",107
"Mixed Conspiracy Theories","total_number_of_memes_per_cluster",13
"Pelosi","count_of_daily_engagement",45
"Pelosi","total_number_of_memes_per_cluster",5
"Romney","count_of_daily_engagement",37
"Romney","total_number_of_memes_per_cluster",1
"True Americans","count_of_daily_engagement",389
"True Americans","total_number_of_memes_per_cluster",4
"Trump still President","count_of_daily_engagement",87
"Trump still President","total_number_of_memes_per_cluster",5
